,weight,reward,x
145,0.145,910.1870727716837,2.8018328001474337
146,0.146,918.0541304513049,2.827298018317718
147,0.147,-383.5208326576875,0.2748990445262452
148,0.148,905.6938222401074,2.816492281098733
149,0.149,885.9713430231748,2.655229154720113
150,0.15,919.8772167199235,2.8494241802412987
151,0.151,912.0774091268037,2.8156379258570143
152,0.152,905.5138619330894,2.7791962339125784
153,0.153,912.3601451008619,2.799682153548412
154,0.154,905.3232555893854,2.7943334387840504
155,0.155,899.7923593500815,2.7306693890155542
156,0.156,905.8167748294384,2.756723550682167
157,0.157,891.6351465851038,2.667840350496384
158,0.158,887.5810381431527,2.6971286306128963
159,0.159,909.5875441560303,2.82534754862711
160,0.16,888.3490460846969,2.6899355491092183
161,0.161,904.9116138013765,2.731769345736916
162,0.162,881.862926165344,2.612449910928819
163,0.163,893.1348072164627,2.7024804494140877
164,0.164,880.1147530689079,2.5872372663781977
165,0.165,898.2275126588622,2.7510881979564035
166,0.166,900.7844560758979,2.744866375909208
167,0.167,896.2833579235322,2.663439549411026
168,0.168,892.8863127127472,2.6865748689896076
169,0.169,884.5928423834855,2.6011932767383965
170,0.17,884.128076447367,2.597306847723696
171,0.171,897.1134626933515,2.7366753863344235
172,0.172,882.4016352540597,2.635638778345194
173,0.173,885.343448515817,2.6114899389536794
174,0.174,895.7408958965511,2.7452780725130403
175,0.175,881.237043262027,2.628320412221855
176,0.176,880.7824560602268,2.6372047639168037
177,0.177,885.067107042683,2.5885951238126648
178,0.178,893.2406621940484,2.6894418336330728
179,0.179,900.1130564412812,2.7094585695927407
180,0.18,883.9556530771822,2.6697625727516807
181,0.181,873.7018523684015,2.5767645553330842
182,0.182,872.6450669152506,2.5248031437242022
183,0.183,875.0232829454183,2.6037193045329534
184,0.184,874.5551406077965,2.5876346460986284
185,0.185,883.1679112199307,2.613655495160175
186,0.186,858.2643266804673,2.444615805469087
187,0.187,874.2548378391717,2.528043277415479
188,0.188,876.7640472459107,2.558022182277071
189,0.189,872.1946564863823,2.549064223346855
190,0.19,865.7609339535455,2.5134951820889646
191,0.191,881.341904499444,2.619815257556269
192,0.192,863.1270205545347,2.471981584968074
193,0.193,870.9778884201644,2.5422388379328416
194,0.194,884.7341185429789,2.5995500226923416
195,0.195,861.9626484392815,2.4925798737851617
