,weight,reward,x
91,0.091,10.267405185499646,2.514837011728985
92,0.092,8.199316145436962,2.54718336222766
93,0.093,1.0892343406648157,2.5088416881233417
94,0.094,8.313655552851172,2.69434835663235
95,0.095,8.541793466981755,2.680478699909422
96,0.096,8.282036720192483,2.6825606065442207
97,0.097,1.0770971553116047,2.5182140556292425
98,0.098,4.8492534330070205,2.5063267808604976
99,0.099,2.4833232783345345,2.420199349810421
100,0.1,1.453730878268908,2.4538299968168156
101,0.101,8.37973581178047,2.688346347611686
102,0.102,10.250296605394897,2.639482448185832
103,0.103,8.98343891030666,2.6062636674102357
104,0.104,5.509683220834824,2.507323072234555
105,0.105,8.57752902877509,2.6074104106534852
106,0.106,7.586916533777878,2.5216177195724825
107,0.107,3.832513086074054,2.4907062465865684
108,0.108,4.695110246461876,2.4092318080050856
109,0.109,4.098796495391769,2.4286470560134137
110,0.11,4.474645085777739,2.4787885216030374
111,0.111,0.40754275260636996,2.3921345378140844
112,0.112,4.864718151173693,2.4790606070848025
113,0.113,5.464104840193743,2.4871678502518173
114,0.114,8.17999850992208,2.6611491676185124
115,0.115,5.745998193850259,2.3949373491832096
116,0.116,8.493769978741742,2.6122260692346937
117,0.117,7.330941252824587,2.6216093794343074
118,0.118,7.969621758741635,2.470909266215216
119,0.119,8.482450863373625,2.5161088173512614
120,0.12,5.777385338938176,2.4650289466234723
121,0.121,4.844948363849498,2.4822776235828057
122,0.122,7.60492890723558,2.4576650601965606
123,0.123,5.195461196280232,2.535907071684071
124,0.124,5.788699984970165,2.4899748720263664
125,0.125,-496.67664299422324,1.2044094723843706
126,0.126,4.082680102758388,2.3853595809347046
127,0.127,4.649932856684502,2.457576292917336
128,0.128,4.158204023898492,2.4227306456194326
129,0.129,3.969463249443524,2.467238315248567
130,0.13,6.423450955235425,2.469599087902837
131,0.131,5.030739723171006,2.3917445319237873
132,0.132,9.11601258545807,2.3456984617243894
133,0.133,4.672128004141714,2.3775066775114646
134,0.134,4.364562865869674,2.4029762307667726
135,0.135,11.66041605646079,2.4770170703795746
136,0.136,8.890992904016032,2.403653317209917
137,0.137,9.60414872461963,2.4003485666922986
138,0.138,5.0079176338311955,2.3603455256366095
139,0.139,1.8524111446139877,2.2778091165144976
140,0.14,4.34082693754055,2.4781649230855565
141,0.141,1.9279075572398896,2.4093804317793466
142,0.142,6.451350327467035,2.4971055722894038
143,0.143,3.633975461253052,2.3441430912562513
144,0.144,-496.41517468753096,1.3918051095059605
145,0.145,2.532373595275539,2.300585876439139
146,0.146,6.043714520383462,2.314629493926654
147,0.147,2.92928170451792,2.3096044641691775
148,0.148,6.717030051471033,2.4036292059023534
149,0.149,2.6743567146071805,2.4197912893993188
150,0.15,7.876884836133367,2.4315264001063226
151,0.151,2.0217703540313665,2.3577441176461305
152,0.152,1.5349421985669496,2.359064278969404
153,0.153,0.5471586911954522,2.3179994065711647
154,0.154,9.965605728432578,2.322917644531312
155,0.155,2.3058011842104778,2.377269715990118
